"use_type_path";"attribute_name";"value_name";"external_id"
"Farming/Vegetables";"kc_b";"0.770833";"ter_attr_familia_vegetables_kc_b_val"
"Farming/Vegetables";"kc_c";"0.12";"ter_attr_familia_vegetables_kc_c_val"
"Farming/Fruit trees (non-citrus)";"kc_a";"0.708333";"ter_attr_familia_fruit_trees_kc_a_val"
"Farming/Fruit trees (non-citrus)";"kc_b";"0.458333";"ter_attr_familia_fruit_trees_kc_b_val"
"Farming/Fruit trees (non-citrus)";"kc_c";"0.08";"ter_attr_familia_fruit_trees_kc_c_val"
"Farming/Citrus";"kc_a";"0.708333";"ter_attr_familia_citrus_kc_a_val"
"Farming/Citrus";"kc_b";"0.508333";"ter_attr_familia_citrus_kc_b_val"
"Farming/Citrus";"kc_c";"0.09";"ter_attr_familia_citrus_kc_c_val"
"Farming/Grapevine";"kc_a";"0.895833";"ter_attr_familia_grapevine_kc_a_val"
"Farming/Grapevine";"kc_b";"0.270833";"ter_attr_familia_grapevine_kc_b_val"
"Farming/Grapevine";"kc_c";"0.06";"ter_attr_familia_grapevine_kc_c_val"
"Farming/Orchards and Nuts";"kc_a";"0.875";"ter_attr_familia_orchards_nuts_kc_a_val"
"Farming/Orchards and Nuts";"kc_b";"0.325";"ter_attr_familia_orchards_nuts_kc_b_val"
"Farming/Orchards and Nuts";"kc_c";"0.08";"ter_attr_familia_orchards_nuts_kc_c_val"
"Farming/Legumes (grain)";"kc_a";"0.541667";"ter_attr_familia_legumes_grain_kc_a_val"
"Farming/Legumes (grain)";"kc_b";"0.541667";"ter_attr_familia_legumes_grain_kc_b_val"
"Farming/Legumes (grain)";"kc_c";"0.12";"ter_attr_familia_legumes_grain_kc_c_val"
"Farming/Oilseeds and Industrial";"kc_a";"0.333333";"ter_attr_familia_oilseeds_kc_a_val"
"Farming/Oilseeds and Industrial";"kc_b";"0.833333";"ter_attr_familia_oilseeds_kc_b_val"
"Farming/Oilseeds and Industrial";"kc_c";"0.12";"ter_attr_familia_oilseeds_kc_c_val"
"Farming/Tubers and Roots";"kc_a";"0.25";"ter_attr_familia_tubers_roots_kc_a_val"
"Farming/Tubers and Roots";"kc_b";"1.0";"ter_attr_familia_tubers_roots_kc_b_val"
"Farming/Tubers and Roots";"kc_c";"0.14";"ter_attr_familia_tubers_roots_kc_c_val"
"Farming/Sugar crops";"kc_a";"0.104167";"ter_attr_familia_sugar_kc_a_val"
"Farming/Sugar crops";"kc_b";"1.229167";"ter_attr_familia_sugar_kc_b_val"
"Farming/Sugar crops";"kc_c";"0.15";"ter_attr_familia_sugar_kc_c_val"
"Farming/Industrial crops";"kc_a";"0.604167";"ter_attr_familia_industrial_kc_a_val"
"Farming/Industrial crops";"kc_b";"0.679167";"ter_attr_familia_industrial_kc_b_val"
"Farming/Industrial crops";"kc_c";"0.12";"ter_attr_familia_industrial_kc_c_val"
"Farming/Pastures and Grasslands";"kc_a";"-0.125";"ter_attr_familia_pastures_kc_a_val"
"Farming/Pastures and Grasslands";"kc_b";"1.125";"ter_attr_familia_pastures_kc_b_val"
"Farming/Pastures and Grasslands";"kc_c";"0.18";"ter_attr_familia_pastures_kc_c_val"
"Farming/Ornamentals and Flowers";"kc_a";"0.291667";"ter_attr_familia_ornamentals_kc_a_val"
"Farming/Ornamentals and Flowers";"kc_b";"0.741667";"ter_attr_familia_ornamentals_kc_b_val"
"Farming/Ornamentals and Flowers";"kc_c";"0.12";"ter_attr_familia_ornamentals_kc_c_val"
"Farming/Greenhouse";"kc_a";"-1.041667";"ter_attr_familia_greenhouse_kc_a_val"
"Farming/Greenhouse";"kc_b";"2.208333";"ter_attr_familia_greenhouse_kc_b_val"
"Farming/Greenhouse";"kc_c";"0.2";"ter_attr_familia_greenhouse_kc_c_val"
"Farming/Mushrooms";"kc_a";"-1.145833";"ter_attr_familia_mushrooms_kc_a_val"
"Farming/Mushrooms";"kc_b";"1.479167";"ter_attr_familia_mushrooms_kc_b_val"
"Farming/Mushrooms";"kc_c";"0.25";"ter_attr_familia_mushrooms_kc_c_val"
"Farming/Woody others";"kc_a";"0.770833";"ter_attr_familia_woody_others_kc_a_val"
"Farming/Woody others";"kc_b";"0.345833";"ter_attr_familia_woody_others_kc_b_val"
"Farming/Woody others";"kc_c";"0.08";"ter_attr_familia_woody_others_kc_c_val"
"Farming/Unproductive";"kc_a";"0.0";"ter_attr_familia_unproductive_kc_a_val"
"Farming/Unproductive";"kc_b";"0.0";"ter_attr_familia_unproductive_kc_b_val"
"Farming/Unproductive";"kc_c";"0.5";"ter_attr_familia_unproductive_kc_c_val"
"Farming/Other";"kc_a";"0.395833";"ter_attr_familia_other_kc_a_val"
"Farming/Other";"kc_b";"0.720833";"ter_attr_familia_other_kc_b_val"
"Farming/Other";"kc_c";"0.12";"ter_attr_familia_other_kc_c_val"
"Farming/Palm/Date";"kc_a";"0.666667";"ter_attr_familia_palm_date_kc_a_val"
"Farming/Palm/Date";"kc_b";"0.466667";"ter_attr_familia_palm_date_kc_b_val"
