"use_type_path";"attribute_name";"value_name"
"Farming/Cereals/ESPELTA";"Shell fruits";"NO"
"Farming/Cereals/ESPELTA";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/ESPELTA";"Direct sowing";"SI"
"Farming/Cereals/ESPELTA";"Improving species";"NO"
"Farming/Cereals/ESPELTA";"Short-cycle forestry";"NO"
"Farming/Cereals/ESPELTA";"Woody";"NO"
"Farming/Cereals/ESPELTA";"Cropland";"SI"
"Farming/Cereals/ESPELTA";"Permanent crops";"NO"
"Farming/Cereals/ESPELTA";"Permanent pasture";"NO"
"Farming/Cereals/ESPELTA";"Forest";"NO"
"Farming/Cereals/ESPELTA";"Legumes";"NO"
"Farming/Cereals/ESPELTA";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/ESPELTA";"Integrated";"SI"
"Farming/Cereals/TRIGO DURO";"Latin";"Triticum durum"
"Farming/Cereals/TRIGO DURO";"EPPO";"TRZDU"
"Farming/Cereals/TRIGO DURO";"C. UPOV";"TRITI_TUR_DUR"
"Farming/Cereals/TRIGO DURO";"Horticultural";"NO"
"Farming/Cereals/TRIGO DURO";"Energetic";"NO"
"Farming/Cereals/TRIGO DURO";"Fruit tree";"NO"
"Farming/Cereals/TRIGO DURO";"Shell fruits";"NO"
"Farming/Cereals/TRIGO DURO";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/TRIGO DURO";"Direct sowing";"SI"
"Farming/Cereals/TRIGO DURO";"Improving species";"NO"
"Farming/Cereals/TRIGO DURO";"Short-cycle forestry";"NO"
"Farming/Cereals/TRIGO DURO";"Woody";"NO"
"Farming/Cereals/TRIGO DURO";"Cropland";"SI"
"Farming/Cereals/TRIGO DURO";"Permanent crops";"NO"
"Farming/Cereals/TRIGO DURO";"Permanent pasture";"NO"
"Farming/Cereals/TRIGO DURO";"Forest";"NO"
"Farming/Cereals/TRIGO DURO";"Legumes";"NO"
"Farming/Cereals/TRIGO DURO";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/TRIGO DURO";"Integrated";"SI"
"Farming/Cereals/MAÍZ";"Latin";"Zea mays"
"Farming/Cereals/MAÍZ";"EPPO";"ZEAMX"
"Farming/Cereals/MAÍZ";"C. UPOV";"ZEAAA_MAY_GMA"
"Farming/Cereals/MAÍZ";"Horticultural";"NO"
"Farming/Cereals/MAÍZ";"Energetic";"SI"
"Farming/Cereals/MAÍZ";"Fruit tree";"NO"
"Farming/Cereals/MAÍZ";"Shell fruits";"NO"
"Farming/Cereals/MAÍZ";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/MAÍZ";"Direct sowing";"SI"
"Farming/Cereals/MAÍZ";"Improving species";"NO"
"Farming/Cereals/MAÍZ";"Short-cycle forestry";"NO"
"Farming/Cereals/MAÍZ";"Woody";"NO"
"Farming/Cereals/MAÍZ";"Cropland";"SI"
"Farming/Cereals/MAÍZ";"Permanent crops";"NO"
"Farming/Cereals/MAÍZ";"Permanent pasture";"NO"
"Farming/Cereals/MAÍZ";"Forest";"NO"
"Farming/Cereals/MAÍZ";"Legumes";"NO"
"Farming/Cereals/MAÍZ";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/MAÍZ";"Integrated";"SI"
"Farming/Cereals/CEBADA";"Latin";"Hordeum vulgare"
"Farming/Cereals/CEBADA";"EPPO";"HORVX"
"Farming/Cereals/CEBADA";"C. UPOV";"HORDE_VUL"
"Farming/Cereals/CEBADA";"Horticultural";"NO"
"Farming/Cereals/CEBADA";"Energetic";"SI"
"Farming/Cereals/CEBADA";"Fruit tree";"NO"
"Farming/Cereals/CEBADA";"Shell fruits";"NO"
"Farming/Cereals/CEBADA";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/CEBADA";"Direct sowing";"SI"
"Farming/Cereals/CEBADA";"Improving species";"NO"
"Farming/Cereals/CEBADA";"Short-cycle forestry";"NO"
"Farming/Cereals/CEBADA";"Woody";"NO"
"Farming/Cereals/CEBADA";"Cropland";"SI"
"Farming/Cereals/CEBADA";"Permanent crops";"NO"
"Farming/Cereals/CEBADA";"Permanent pasture";"NO"
"Farming/Cereals/CEBADA";"Forest";"NO"
"Farming/Cereals/CEBADA";"Legumes";"NO"
"Farming/Cereals/CEBADA";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/CEBADA";"Integrated";"SI"
"Farming/Cereals/CENTENO";"Latin";"Secale cereale"
"Farming/Cereals/CENTENO";"EPPO";"SECCE"
"Farming/Cereals/CENTENO";"C. UPOV";"SECAL_CER"
"Farming/Cereals/CENTENO";"Horticultural";"NO"
"Farming/Cereals/CENTENO";"Energetic";"SI"
"Farming/Cereals/CENTENO";"Fruit tree";"NO"
"Farming/Cereals/CENTENO";"Shell fruits";"NO"
"Farming/Cereals/CENTENO";"Aromatic condiment medicinal";"NO"
"Farming/Cereals/CENTENO";"Direct sowing";"SI"
"Farming/Cereals/CENTENO";"Improving species";"NO"
"Farming/Cereals/CENTENO";"Short-cycle forestry";"NO"
"Farming/Cereals/CENTENO";"Woody";"NO"
"Farming/Cereals/CENTENO";"Cropland";"SI"
"Farming/Cereals/CENTENO";"Permanent crops";"NO"
"Farming/Cereals/CENTENO";"Permanent pasture";"NO"
"Farming/Cereals/CENTENO";"Forest";"NO"
"Farming/Cereals/CENTENO";"Legumes";"NO"
"Farming/Cereals/CENTENO";"Unharvested zone cereals legumes oilseeds";"SI"
"Farming/Cereals/CENTENO";"Integrated";"SI"
"Farming/Cereals/SORGO";"Latin";"Sorghum bicolor"
"Farming/Cereals/SORGO";"EPPO";"SORVU"
"Farming/Cereals/SORGO";"C. UPOV";"SRGHM_BIC_BIC"
"Farming/Cereals/SORGO";"Horticultural";"NO"
"Farming/Cereals/SORGO";"Energetic";"SI"
"Farming/Cereals/SORGO";"Fruit tree";"NO"
