"use_type_path";"attribute_name"
"Farming/Cereals/TRITICALE";"Horticultural"
"Farming/Cereals/TRITICALE";"Energetic"
"Farming/Cereals/TRITICALE";"Fruit tree"
"Farming/Cereals/TRITICALE";"Shell fruits"
"Farming/Cereals/TRITICALE";"Aromatic condiment medicinal"
"Farming/Cereals/TRITICALE";"Direct sowing"
"Farming/Cereals/TRITICALE";"Improving species"
"Farming/Cereals/TRITICALE";"Short-cycle forestry"
"Farming/Cereals/TRITICALE";"Woody"
"Farming/Cereals/TRITICALE";"Cropland"
"Farming/Cereals/TRITICALE";"Permanent crops"
"Farming/Cereals/TRITICALE";"Permanent pasture"
"Farming/Cereals/TRITICALE";"Forest"
"Farming/Cereals/TRITICALE";"Legumes"
"Farming/Cereals/TRITICALE";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/TRITICALE";"Integrated"
"Farming/Cereals/TRITORDEUM";"Latin"
"Farming/Cereals/TRITORDEUM";"EPPO"
"Farming/Cereals/TRITORDEUM";"C. UPOV"
"Farming/Cereals/TRITORDEUM";"Horticultural"
"Farming/Cereals/TRITORDEUM";"Energetic"
"Farming/Cereals/TRITORDEUM";"Fruit tree"
"Farming/Cereals/TRITORDEUM";"Shell fruits"
"Farming/Cereals/TRITORDEUM";"Aromatic condiment medicinal"
"Farming/Cereals/TRITORDEUM";"Direct sowing"
"Farming/Cereals/TRITORDEUM";"Improving species"
"Farming/Cereals/TRITORDEUM";"Short-cycle forestry"
"Farming/Cereals/TRITORDEUM";"Woody"
"Farming/Cereals/TRITORDEUM";"Cropland"
"Farming/Cereals/TRITORDEUM";"Permanent crops"
"Farming/Cereals/TRITORDEUM";"Permanent pasture"
"Farming/Cereals/TRITORDEUM";"Forest"
"Farming/Cereals/TRITORDEUM";"Legumes"
"Farming/Cereals/TRITORDEUM";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/TRITORDEUM";"Integrated"
"Farming/Cereals/TEFF";"Latin"
"Farming/Cereals/TEFF";"EPPO"
"Farming/Cereals/TEFF";"C. UPOV"
"Farming/Cereals/TEFF";"Horticultural"
"Farming/Cereals/TEFF";"Energetic"
"Farming/Cereals/TEFF";"Fruit tree"
"Farming/Cereals/TEFF";"Shell fruits"
"Farming/Cereals/TEFF";"Aromatic condiment medicinal"
"Farming/Cereals/TEFF";"Direct sowing"
"Farming/Cereals/TEFF";"Improving species"
"Farming/Cereals/TEFF";"Short-cycle forestry"
"Farming/Cereals/TEFF";"Woody"
"Farming/Cereals/TEFF";"Cropland"
"Farming/Cereals/TEFF";"Permanent crops"
"Farming/Cereals/TEFF";"Permanent pasture"
"Farming/Cereals/TEFF";"Forest"
"Farming/Cereals/TEFF";"Legumes"
"Farming/Cereals/TEFF";"Unharvested zone cereals legumes oilseeds"
"Farming/Cereals/TEFF";"Integrated"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Latin"
"Farming/Unproductive/BARBECHO TRADICIONAL";"EPPO"
"Farming/Unproductive/BARBECHO TRADICIONAL";"C. UPOV"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Horticultural"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Energetic"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Fruit tree"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Shell fruits"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Aromatic condiment medicinal"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Direct sowing"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Improving species"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Short-cycle forestry"
"Farming/Unproductive/BARBECHO TRADICIONAL";"Woody"
